hecho_sancionado,instrumento_legal_inflingido,losma_35,gravedad_falta,inversion,tipologia,vias_de_ingreso,tamaño_unidad
"No haber iniciado las acciones establecidas en la RCA N° 535/2012 para implementar el tratamiento externo de lixiviado del RSSP aprobado para reemplazar la PTL, lo que implica que el RSSP ha utilizado el plan de contingencia consistente en el traslado de lixiviado con camiones aljibe para su tratamiento en la PTAS de La Farfana permanentemente por más de tres años.",RCA,a,Graves,1236.0,O,DIA,865.1999999999999
"La obtención, con fecha 23 de abril de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 60 Db(A) en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Ejecutar una actividad que involucra mantener una capacidad de almacenamiento de ácido nítrico en una cantidad de 290.000 kg., sin haber evaluado ambientalmente dicho proyecto. Dicha operación se ha verificado, al menos, desde el año 2008 hasta la fecha.",Elusión,b,Graves,,,,
No realiza el empaque de redes limpias en mangas de polietileno.,RCA,a,Leves,0.709,O,DIA,0.49629999999999996
"La obtención, con fecha 5 de enero de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 74 dB(A), medición efectuada en horario diurno, en condición interna con ventana abierta y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
El establecimiento industrial no reportó información asociada a los remuestreos requeridos para los meses de abril de 2014; mayo y junio de 2015; y agosto de 2016.,NE,g,Leves,,,,
"Disposición de flowback obtenido de la fracturación hidráulica en contravención a lo autorizado, lo que se expresa en: 1. No mantener un adecuado registro de la disposición del flowback obtenido de la fracturación hidráulica.  2. Disponer el flowback obtenido de la fracturación hidráulica en lugares que no fueron evaluados ambientalmente, como fosas de otros pozos, Batería Victoria y el pozo reinyector Chañarcillo 1.",RCA,a,Leves,37.5,I,DIA,26.25
"Exceder el horario de operación establecido en la evaluación ambiental, atendido que la faena opera los días sábados hasta las 18:00 horas, debiendo hacerlo hasta las 14:00 horas.",RCA,a,Leves,3.7,I,DIA,2.59
"La obtención, con fecha 14 de enero de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 61 dB(A), cuya medición fue efectuada en horario nocturno, en condición interna, con ventana cerrada y en un receptor sensible ubicado en Zona III",NE,h,Leves,,,,
"Existencia de un vertedero de residuos sólidos de construcción: plásticos, sacos, mantas aislantes, textiles, metales, madera al costado sur oeste de las instalaciones.",RCA,a,Leves,14.0,N,DIA,9.799999999999999
"""A. La falta de la implementación de la medida señalada en el considerando 5.1.3.7 letra f), apartado b) de la RCA 42/2002: """"…b) Como forma de compensar los impactos ambientales de la construcción y operación del camino sobre los objetivos de la Reserva, el titular proporcionará en el mediano plazo los recursos para aumentar el tamaño de ésta en una zona aledaña con presencia de colonias de chinchillas (preferentemente quegraba Curico). Esta compensación implica una superficie de 100ha (se buscarán los mecanismos factibles para la Dirección de Vialidad con el fin de anexar esta superficie a la reserva). Respecto a los plazos de adquisición de las 100 ha, el titular entregará a CONAMA dentro de un plazo de 90 días posteriores a la notificación oficial de la RCA de este proyecto, un plan que contemple los plazos y actividades que desarrollará el MOP con el objeto de adquirir las 100hs. El de las medidas compensatorias (por ejemplo: reforestación) podráfocalizarse en algún sector prefierico o al interior de la Reserva. """,RCA,a,Leves,3.11,E,EIA,2.1769999999999996
"No acredita la ejecución del Programa de Vigilancia Ambiental correspondiente al proyecto de Dragado de Sitios 6 y 7 Muelle Sur del Puerto de Coronel, Comuna de Coronel para todos los años asociados a la ejecución del proyecto.",RCA,a,Leves,2.3,M,DIA,1.6099999999999999
"No informar oportunamente los hallazgos arqueológicos identificados en el período 2013 a 2018, de la tabla N° 5, lo que impidió que el CMN determinara los procedimientos a seguir.",RCA,a,Graves,0.0001,H,DIA,0.00007
"Exceder el límite de diseño y/o control de los parámetros DQO, DBO, Sólidos Suspendidos Totales, Temperatura y pH entre los días 3 y 22, y el día 24 de febrero de 2020, como se muestra en la tabla Nº 7 de la presente resolución.",RCA,a,Graves,,,,
"La obtención, con fecha 19 de marzo de 2019, de un Nivel de Presión Sonora Corregido (NPC) de 69 dB(A), medición efectuada en horario diurno, en condición interna, con ventana abierta, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Los pretiles, durante la fiscalización de 3 de julio del año 2014, no confinan adecuadamente los residuos líquidos generados por mala operación, provocando rebalse de riles desde las canaletas del galpón de proceso.",RCA,a,Graves,0.2,O,DIA,0.13999999999999999
"El titular no acredita la realización del monitoreo de aguas superficiales en el estero San Antonio, entre los períodos de enero de 2017 y febrero de 2018.",RCA,a,Graves,1.5,O,DIA,1.0499999999999998
"Superar la producción máxima autorizada en el CES MELCHOR 4, durante el ciclo productivo ocurrido entre 15 de junio de 2019 y 13 de octubre de 2020",RCA,a,Graves,2.5,N,DIA,1.75
El titular no presenta información asociada a remuestreos para el periodo de mayo de 2019.,NE,g,Leves,1.7,O,DIA,1.19
"NO REPORTAR TODOS LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó el parámetro N-Nitrato + N-Nitrito de su Programa de Monitoreo N° 1113/2011 durante los meses de diciembre (2020); de enero a octubre y diciembre (2021); y enero a julio (2022), según se detalla en la Tabla N° 1.1 de la presente resolución.",NE,g,Leves,,,,
"Modificación del proyecto ejecutado en el CES Huillines 3, que no ha sido evaluada ambientalmente, y consistente en la producción de recursos hidrobiológicos de salmones, mediante un sistema de producción intensivo, mayor a 35 toneladas.",Elusión,b,Graves,1.5,N,DIA,1.0499999999999998
Realización de actividades de transporte con empresas que no cuentan con RCA favorable.,RCA,a,Leves,0.0,I,DIA,0.0
"No haber realizado la medición de sus emisiones de MP, de acuerdo a la periodicidad establecida en el artículo 45 del D.S. N°47/2015, mediante un muestreo isocinético que permita acreditar el cumplimiento de los límites de emisión establecidos en el artículo 41 del D.S. N°47/2015, respecto de las calderas a petróleo con registro N° OSO- 196 y N° OSO- 197, durante el siguiente periodo: -Entre el 29-03-2019 y el 28-03-2021.",PPDA,c,Leves,,,,
"No haber realizado la medición de sus emisiones de MP, mediante una medición anual discreta para su horno tipo de piso a petróleo.",PPDA,c,Leves,,,,
"La obtención, con fecha 09 de agosto de 2016, de Nivel de Presión Sonora Corregido (NPC) de 72 dB(A), en horario diurno, en condición interna y con ventana abierta medido en receptor sensible, ubicado en Zona II",NE,h,Leves,,,,
B. Ejcución parcial de la obligación de traslado de ejemplares ed bellloto del norte en sectores…,RCA,a,Graves,250.0,I,EIA,175.0
"La obtención, con fechas 01 de marzo de 2017, de Niveles de Presión Sonora Corregidos (NPC) de 54 dB(A) y 63 dB(A) respectivamente, todas las mediciones efectuadas en horario nocturno, en condición externa en receptores sensibles ubicado en Zona III; y la obtención, con fecha 02 de marzo de 2017, de Nivel de Presión Sonora Corregido (NPC) de 58 dB(A), medición efectuada en horario nocturno, en condición externa en un receptor sensible ubicado en Zona III.",NE,h,Graves,,,,
No reportar la frecuencia de monitoreo exigida en su programa de monitoreo: El establecimiento industrial no reportó la frecuencia de monitoreo exigida en su Programa de Monitoreo (Resolución Exenta N°465 de fecha 15 de junio de 2015) respecto de la Unidad 5 (Enfriamiento) en los periodos enero 2021; enero y septiembre 2022.,NE,g,Leves,300.0,C,DIA,210.0
"La obtención, con fecha 04 de febrero de 2021, de un Nivel de Presión Sonora Corregidos (NPC) de 69 dB(A), medición efectuada en horario nocturno, en condición externa, en un receptor sensible ubicado en Zona Rural.",NE,h,Leves,,,,
"El Plan de arborización no se realiza conforme fue evaluado, lo que se evidencia en: a)	No se plantaron la totalidad de árboles comprometidos. b)	No se realiza reemplazo y reposición de plantines que mostraron evidencias de muerte u enfermedad c)	No se realiza un monitoreo anual, al terminar el periodo vegetativo en el mes de agosto.",RCA,a,Graves,0.0447,,,0.03129
"Se desarrollaron actividades no autorizadas, al interior de un área de restricción, en particular: 1.- Transporte de equipos y maquinarias 2.- Instalación de faena",RCA,a,Graves,700.0,C,EIA,489.99999999999994
"La obtención, con fecha 8 de julio de 2015, de un Nivel de Presión Sonora Corregido (NPC) nocturno de 48 dB(A), medido en un receptor ubicado en Zona II.",NE,h,Leves,,,,
El titular no reportó el seguimiento ambiental al cuerpo receptor comprometido en considerando 6° RCA N° 575/2007.,RCA,a,Leves,0.85,O,DIA,0.595
"SUPERAR LOS LÍMITES MÁXIMOS PERMITIDOS PARA LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 1 del artículo 1 numeral 4.2 del D.S. N° 90/2000 en relación con su Programa de Monitoreo (Resolución Exenta N° 208, de fecha 18 de enero del año 2007, de la SISS), para el parámetro pH en el mes de abril del año 2021 y para el parámetro Poder Espumógeno en los meses de marzo y junio del año 2021, según se indica la Tabla N° 1.5 del Anexo N° 1 de esta Resolución, no configurándose los supuestos señalados en el numeral 6.4.2 del D.S. N° 90/2000.",NE,g,Leves,,,,
"La obtención, con fecha 29 de julio de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 70 dB(A), medición efectuada en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"El titular no ha remitido a este organismo fiscalizador la información requerida mediante Resolución Exenta (SMA) N°574 de fecha 02/10/12 y sus posteriores modificaciones, por cuanto se omitió ingresar información relativa a: 8.1.	La modificación efectuada a la RCA N°185/2001 por la COREMA de Magallanes a través de la Resolución Exenta N°76 de fecha 25 de abril de 2003. 8.2.	Dos respuestas a consultas de pertinencia de ingreso al SEIA vinculadas a la RCA N°157/2010, las cuales fueron resueltas por el SEA mediante Ord. N°091, de 5 de marzo de 2012 y Resolución Exenta N°143/2015/P11207, de fecha 11 de junio de 2015. 8.3.	Una respuesta a consulta de pertinencia de ingreso al SEIA vinculada a la RCA N°282/2014, la cual fue resuelta por el SEA mediante Resolución Exenta N°368/2015/P30666, de 24 de diciembre de 2015. 8.4. El proyecto “Navegación de Apoyo en el Lago Grey” (RCA N°8/2017), cuyo formulario electrónico vinculado al “Sistema RCA” de la Superintendencia del Medio Ambiente se encuentra en etapa de “edición”.",RSMA,e,Leves,3.0,P,DIA,2.0999999999999996
No haber realizado la instalación de la Cortina vegetal de Casuarinas en el muro de contención para emergencias.,RCA,a,Leves,0.1131,I,DIA,0.07917
Operar el sistema de tratamiento de RILes sin ejecutar la etapa de filtrado.,RCA,a,Leves,0.9,O,DIA,0.63
"Superación de la NCh. 1.333 en el agua de lavado de incineradores, detectándose la presencia de metales pesados, específicamente mercurio, en el agua destinada a riego. Dicha superación se registró en el periodo 2014.",RCA,a,Leves,0.56,,DIA,0.392
"Haber operado, con fecha 23 de julio de 2020, entre las 20:12 y las 20:35 horas, la caldera a pellet, con una potencia de 240 Kw, con código 18ARC167953, durante un episodio crítico nivel Pre emergencia ambiental en el polígono B, sin haber acreditado la concentración de emisiones asociadas a la misma para poder funcionar en un episodio de Pre emergencia.",PPDA,c,Leves,,,,
"Centro Bahía Tranquila 1 A.6 Las aguas servidas generadas por el personal que labora en el centro son descargadas en forma directa al mar desde la embarcación utilizada como habitabilidad, sin previo tratamiento.",RCA,a,Leves,2.4,N,DIA,1.68
L. No efectuar los monitoreos de calidad del aire en el periodo 2013 a la fecha.,RCA,a,Leves,21.0,O,EIA,14.7
"Modificación de consideración del proyecto calificado favorablemente mediante la RCA N° 42/1997 que se constata en la construcción y operación de un by-pass no evaluado desde la piscina de acumulación a la cámara de contacto, por medio del cual se realizan descargas de aguas servidas sin tratamiento adecuado al Estero Garretón.",Elusión,b,Graves,0.44,O,DIA,0.308
"Comercio de leña con contenido de humedad sobre el 25%, verificado en la inspección ambiental de 11 de junio de 2014",PPDA,c,Leves,,,,
"Incumplimiento de letras a), b) y d) de medidas provisionales decretadas en Resolución Exenta N° 41/2015, ya que: -No se ejecutaron obras necesarias en el Estero Botrolhue que permitieran mantener el escurrimiento natural de sus aguas, toda vez que se constató acumulación de espumas, aguas color café. Asimismo no se acompañó cronograma ni informe de las labores de limpieza dentro del plazo establecido. - Omisión de limpieza de los clarificadores evidenciándose en fiscalizaciones de fechas 06 y 13 de marzo de 2015 el funcionamiento de los tres clarificadores con alta concentración de espumas y residuos sólidos al interior de ellos, sin acompañar además informe que contenga un procedimiento de limpieza. - Falta de elaboración y presentación de informe final de estado de ejecución de las medidas provisionales.",,f,Graves,4.5,N,DIA,3.15
"Haber efectuado obras de construcción en el lecho marino, sin contar con la línea de base arqueológica submarina en forma previa a la realización de las misma",RCA,a,Leves,308.0,T,EIA,215.6
"La obtención, con fecha 2 de marzo de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 51 dB(A), medición efectuada en horario nocturno, en condición interna con ventana abierta y en un receptor sentible ubicado en Zona III; la obtención, con fecha 7 de abril de 2021, de NPC de 53 dB(A), 62 dB(A), 54 dB(A), 65 dB(A) y 65 dB(A), mediciones efectuadas en horario nocturno, en condición externa las tres primeras, y en condición interna con ventana abierta las dos últimas, en receptores sensibles ubicados en Zona II el primero y el tercero, y en Zona III los demás; y, la obtención, con fecha 15 de diciembre de 2022, de un NPC de 57 dB(A), medición efectuada en horario nocturno, en condición interna con ventana abierta y en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"La Subcontratación de una empresa ETFA para realización actividades de análisis en los Informes de Resultados Números: 44/2019 y 73/2019, para las cuales no poseía autorización de la SMA al momento de ejecutarlas, conforme a lo indicado en la Tabla N°5 de la presente resolución.",Otro,d,Graves,,,,
"NO REPORTAR LOS MONITOREOS DE AUTOCONTROL DE SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó los monitoreos de autocontrol de su programa de monitoreo correspondiente a los meses de noviembre y diciembre del año 2019 y, enero, febrero del año 2020 según se detalla en la Tabla N° 1.1 del Anexo de la presente Resolución.",NE,g,Leves,,,,
"Haber superado el límite máximo de emisión de MP respecto de la fuente tipo proceso sin combustión, Maquina gravilladora ducto A, B y C con registro PR-6580.",PPDA,c,Leves,,,,
"La obtención, con fecha 5 de agosto de 2021, de Niveles de Presión Sonora Corregidos (NPC) de 48 dB(A) y 52 dB(A), mediciones efectuadas en condición externa la primera, y en condición interna con ventana abierta la segunda; y, la obtención con fecha 31 de agosto de 2021, de un NPC de 54 dB(A), medición realizada en condición externa; todas las mediciones realizadas en horario nocturno y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"La obtención, con fecha 30 de agosto de 2017, de Nivel de Presión Sonora Corregido (NPC) de 61 dB(A), en horario nocturno, en condición interna, con ventana abierta, medición efectuada desde receptor sensible ubicados en Zona III.",NE,h,Leves,,,,
"La obtención, con fecha 18 de julio de 2019, de un Nivel de Presión Sonora Corregidos (NPC) de 51 dB(A), medición efectuada en horario nocturno, en condición externa, en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"No haber realizado la medición discreta de MP, que permita acreditar el cumplimiento del límite máximo de emisión de MP fijado en el art. 40 del D.S. N° 48/2015, para la caldera a biomasa forestal con registro ante autoridad sanitaria SSÑUB-42.",PPDA,c,Leves,,,,
"Modificación del Proyecto, sin contar con RCA, consistente en: -	Construir y operar un embalse sin contar con una Resolución de Calificación ambiental que lo autorice, debiendo tenerla. -	Construir y operar una obra de encauzamiento de aguas sin contar con una Resolución de Calificación ambiental que la autorice, debiendo tenerla.",Elusión,b,Graves,,,,
"Presencia de basura y residuos propios de la actividad acuícola en las playas aledañas, superficie del mar y al interior del espacio cercano a la concesión marítima otorgada.",RCA,a,Leves,0.9,N,DIA,0.63
"Omisión de efectuar monitoreos, en tanto: no se han realizado monitoreos de Fauna Bentónica entre 2013 y 2022, y, no se han realizado monitoreos en el Cuerpo Receptor, entre los años 2021 y 2022.",RCA,a,Leves,0.1105,,DIA,0.07735
CES Vicuña 4: Vertimiento de desechos orgánicos al medio ambiente.,RCA,a,Leves,0.0197,N,DIA,0.013789999999999998
"Incumplir el Plan de Contingencia y Mantenimiento del Sistema, por no informar en el Sistema de Avisos, los incidentes ambientales que fueron constados en el Registro de Enventos y Contingencias y en la actividad fiscalización.",RCA,a,Leves,1.53,O,DIA,1.071
B2. El titular no instaló los aspersores que riegan el area de biofiltro en su parte superior para humedecer la superficie del mismo,RCA,a,Leves,0.08,O,DIA,0.055999999999999994
"SUPERAR EL LIMITE MÁXIMO PERMITIDO DE VOLUMEN DE DESCARGA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial excedió el límite de volumen de descarga exigido en su Programa de Monitoreo mensual asociado al D.S. 90/2000 (Res. Ex. SISS N°1741/2010), en los meses de febrero y diciembre de 2021; según se detalla en la Tabla N° 1.4 del Anexo N°1 de la presente resolución.",NE,g,Leves,,,,
"La obtención, con fecha 15 de junio de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 55 dB(A), medición homologada a horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"La obtención, con fecha 13 de enero de 2017, de un Nivel de Presión Sonora Corregidos (NPC) de 55 dB(A), medición efectuadas en horario nocturno, en condición interna, con ventana cerrada, en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"La omisión de ejecutar las acciones necesarias para hacerse cargo de los impactos ambientales no previstos, consistentes en la disminución del nivel freático en la cuenca Pantanillo-Ciénaga Redonda y el consecuente desecamiento de, al menos, 70 ha. de humedales ubicados en el Complejo Lacustre Laguna del Negro Francisco y Laguna Santa Rosa, y el riesgo inminente de expansión del área afectada a aproximadamente 73 ha. adicionales de humedales, no obstante encontrarse implementada la medida de conexión de los pozos de extracción con las vegas de Pantanillo, contemplada en la Resolución de Calificación Ambiental que autoriza el proyecto.",RCA,a,Graves,127.0,I,EIA,88.89999999999999
"El establecimiento industrial presenta inconsistencia en los reportes de su volumen de descarga, al informar un caudal de 15 m3 en los meses de enero, febrero, marzo, abril, julio, agosto, septiembre, octubre y diciembre del año 2018; en enero a diciembre del año 2019; y, en enero a septiembre del año 2020; conforme se detalla en la Tabla N° 7 del Anexo de la presente Resolución.",NE,g,Leves,,,,
"No contar con resolución que establezca la frecuencia, lugar y metodología a utilizar para efectuar mediciones isocinéticas.",RCA,a,Graves,300.0,Ñ,EIA,210.0
"A8 Falta de implementación de las acciones asociadas al monitoreo de aguas subterráneas y al respectivo plan de contingencias, consistentes en: - No entrega de monitoreos trimestrales asociados al pozo “Lufi” para los meses de septiembre 2014, marzo 2015, y junio 2015. - No implementación de medidas ante la superación de los límites establecidos en la NCh 1333 para Hierro (Pozos Las Canchas y El Cuero), Manganeso (Pozos, El Cuero y Las Canchas), Sulfato (El Cuero y Las Canchas), y Vanadio (El Cuero y Las Canchas) en los pozos de monitoreo.",RCA,a,Graves,1.0,I,DIA,0.7
"Omitir la realización de monitoreos y de análisis, así como la adopción de medidas, respecto de aguas de pozos, asociados al seguimiento del tranque de relaves Alhué, de acuerdo a lo siguiente: -No realizar monitoreos semestrales de calidad de aguas subterráneas en pozos definidos (5) adyacentes al emplazamiento del tranque de relaves Alhué, en: -Punto 3, en el segundo semestre de 2013. -Puntos 3, 4, SC1, SC2 y SC3; en el primer semestre de 2014. -No realizar monitoreos trimestrales asociados a los pozos del Plan de Alerta Temprana (P2, P3 y P4), de acuerdo al siguiente detalle: -Pozo punto 2; en el primer, tercer y cuarto trimestre de 2013, los 4 trimestres de 2014; y el primer y segundo trimestres de 2015; -Pozo pto. 3; del segundo al cuarto trimestre de 2013; del primer a tercer trimestre de 2014; y el primer trimestre de 2015, y -Pozo pto. 4; el segundo y cuarto trimestres de 2013; del primer a tercer trimestre del año 2014; y el primer trimestre de 2015. -No acreditar la activación de medidas de contingencia tendientes a gestionar las superaciones detectadas en monitoreos de 2013 y 2014. En particular las excedencias en el parámetro sulfato, indicativo de filtraciones desde el tranque de relaves. -No analizar los parámetros señalados en tabla de Considerando 5.5.20 de la RCA N° 005/2005, en los monitoreos de todos los pozos presentados el primer y segundo semestres de 2013; ni en los monitoreos de los pozos P3 y P4 del primer semestre de los años 2014 y 2015; como tampoco en el del segundo semestre de 2014.",RCA,a,Graves,0.02,I,DIA,0.013999999999999999
"No informar a la I. Municipalidad de Concón situación operativa especial ocurrida con fecha 01 de septiembre de 2016 en la Planta de Alquilación, ni las medidas adoptadas para controlar la emergencia.",RCA,a,Leves,300.0,Ñ,EIA,210.0
"Incumplimiento al requerimiento de información formulado mediante Resolución Exenta DSC N° 1379, de 17 de noviembre de 2017.",Requerimientos de Información,e,Leves,0.85,O,DIA,0.595
"B.1 Elusión al Sistema de Evaluación de Impacto Ambiental por modificaciones de consideración al proyecto evaluado ambientalmente en relación a: - La ampliación de la superficie ocupada por las pilas de lixiviación 1, 1A y 2, que se han unido en una pila de lixiviación permanente y continua, desapareciendo sus límites. -	La construcción de una piscina de emergencia no evaluada ambientalmente en el sector de las pilas de lixiviación permanentes. -	La construcción de nuevas pilas de lixiviación dinámicas en el sector norponiente de la Planta Catemu, junto con dos piscinas no evaluadas ambientalmente. -	El aumento del tonelaje del Botadero de Ripios N° 2 por sobre el 50% de la capacidad máxima aprobada en la evaluación ambiental para la fase de operación del Proyecto. -	La construcción de una piscina adicional, y la habilitación de una piscina de emergencia mayor a la evaluada ambientalmente en el sector del Botadero de Ripios N° 2.",Elusión,b,Graves,8.0,I,DIA,5.6
"Extracción de salmuera por sobre lo autorizado, según se expone en el Considerando N° 27, durante el período entre agosto de 2013 y agosto de 2015.",RCA,a,Graves,234.198,I,EIA,163.9386
El sistema de detección de fugas no se encontraba operativo al momento del incidente.,RCA,a,Graves,0.02,O,DIA,0.013999999999999999
"NO REPORTAR LOS REMUESTREOS SEGÚN LO ESTABLECIDO EN SU PROGRAMA DE MONITOREO Y/O LA NORMA DE EMISIÓN: El establecimiento industrial no reportó información asociada a los remuestreos de los parámetros Sólidos Suspendidos Totales y pH en el mes de junio del 2022, conforme se detalla en la Tabla N° 1.1 del Anexo 1 de la presente Resolución.",NE,g,Leves,,,,
"Incumplimiento de los compromisos asociados a hallazgos arqueológicos no previstos, por cuanto el titular no dio aviso inmediato al CMN del hallazgo arqueológico “Horno de Secado 1” encontrado el 24 de marzo de 2020 en sector D, interviniendo el mismo, sin contar con las directrices y/o permisos necesarios dispuestos por dicho organismo.",RCA,a,Graves,23.0577,H,DIA,16.14039
"C3. La omisión de presentar informe semestral relativo al Plan de Vigilancia Ambiental para Control de Arrastre de Sólidos, establecido en…. RCA 25/11",RCA,a,Graves,180.0,I,EIA,125.99999999999999
"No se ha implementado el monitoreo de ruidos con la periodicidad comprometida en el respectivo Plan de Inspección Ambiental, en Pique Plaza de Armas (Línea 3-Etapa 2), al haberse realizado este, solo 1 vez al mes, en el periodo comprendido entre abril de 2016 a marzo de 2017.",RCA,a,Leves,1571.5,E,EIA,1100.05
"Omisión de informar oportunamente e implementar las medidas necesarias para hacerse cargo de los impactos no previstos, en específico, la proliferación de microrganismos en sectores aguas abajo de la descarga del efluente de las Piscicultura Estero Peuco.",RCA,a,Leves,5.0,N,DIA,3.5
"Modificación del proyecto sin contar con una RCA favorable, dada por la generación de líquido lixiviado desde las pilas de acopio de conchas en un mayor volumen y de peor calidad a la evaluada en la RCA N° 219/2007, el cual presenta características de establecimiento emisor en los términos del D.S. 46/2002. A raíz de ello se constató la implementación de (i) una canalización de lixiviados fuera del área del proyecto, (ii) un pozo de acumulación oculto fuera de los límites del proyecto, (iii) el afloramiento de lixiviados hacia una quebrada y estero, (iv) presencia de lixiviados en canales perimetrales de aguas lluvias y (v) el vertimiento de lixiviados hacia los pozos de infiltración de aguas lluvias.",Elusión,b,Graves,0.7,K,DIA,0.48999999999999994
"La obtención, con fechas 28 y 29 de marzo de 2019, de Niveles de Presión Sonora Corregidos (NPC) de 58 dB(A) y 52 dB(A) respectivamente, ambas mediciones efectuadas en horario nocturno, en condición externa la primera y en condición interna con ventana abierta la segunda, en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"La obtención, con fecha 5 de agosto de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 65 dB(A), en medición efectuada en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Superar la producción máxima autorizada en el CES PASO VATTUONE (RNA 120094), durante el ciclo productivo ocurrido entre el 9 de julio de 2018 y el 1 de noviembre de 2020.",RCA,a,Graves,6.0,N,DIA,4.199999999999999
"No se han implementado todas las medidas comprometidas para la protección del hábitat de la fauna en sector de Mina Los Colorados. Ello se manifiesta en los siguientes hechos: (i) La relocalización de especies de herpetofauna en un área que comprende aproximadamente 40 hectáreas de superficie que no fue evaluada ni aprobada ambientalmente para realizar dicha medida, desconociéndose –además– el número de individuos relocalizados en ella. (ii) El relleno sanitario de mina Los Colorados, no se encuentra cercado en la parte contigua a la ladera del cerro, verificándose huellas y fecas de cánidos en el área de dicho relleno",RCA,a,Graves,347.0,K,EIA,242.89999999999998
"Deficiencias en la implementación de medidas de mitigación de emisión de polvo, tanto en las unidades que integran el proceso de la Línea N°2 de la Planta de Beneficio como en los acopios, generándose resuspensión de material particulado.",RCA,a,Graves,50.0,I,DIA,35.0
"C2: No hay control de ingreso al recinto, en efecto se evidenció la presencia de un numeroso grupo de recolectores informales en el área A del vertedero (frente de trabajo).",RCA,a,Leves,4.75,O,DIA,3.3249999999999997
"SUPERAR EL LIMITE MÁXIMO PERMITIDO DE VOLUMEN DE DESCARGA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial excedió el límite de volumen de descarga exigido en su Programa de Monitoreo 292/2010, en los meses noviembre del 2020, agosto a octubre del 2021, y, junio del 2022, conforme se detalla en la Tabla N° 2.3 del Anexo I de la presente Resolución.",NE,g,Leves,,,,
"La obtención, desde cuatro puntos, de niveles de presión sonora corregido de: 68, 72, 62 y 61 dBA, todos en horario nocturno, medidos desde dos receptores ubicados en Zona II.",NE,h,Leves,,,,
"Incumplimiento de las medidas y condiciones establecidas por la RCA N° 376/2000 para la medición de ruidos en cuanto: a) Realizó mediciones de ruidos en horarios diurnos y nocturnos, que no correspondían al de máxima exposición de ruidos. b) Excedencia de los límites máximos permisibles de ruido.",RCA,a,Leves,437.0,E,EIA,305.9
"Agua superficial de la quebrada la Coipa no es captada en el embalse “Antigua Azufrera”, sino en otro denominado “Nuevo”, el cual no se encuentra autorizado.",RCA,a,Leves,10.5,T,DIA,7.35
"No activar el Plan de Acción Operacional respecto del Convertidor Teniente (CT), para condición meteorológica Mala no obstante lo indicado por el informe meteorológico pertinente, entre las 3:30 y 9:50 horas del día 15 de abril de 2019 y entre las 00:00 y 7:30 horas del día 16 de abril de 2019.",PPDA,c,Graves,,,,
"Disponer de estanque de almacenamiento de mortalidad desnaturalizada de 5m3, inferior al comprometido en su RCA N°357/2011.",RCA,a,Leves,0.055,O,DIA,0.0385
"No presentar Plan de Compensación de Emisiones de Material Particulado (MP 10) asociado al proyecto “Peraltamiento Tranque de Relaves Adosado” ante el Servicio de Evaluación Ambiental, dentro del plazo fijado al efecto.",RCA,a,Leves,0.02,I,DIA,0.013999999999999999
No construcción de pantallas acústicas por ambos lados de la autopista en la zona del jardín botánico.,RCA,a,Leves,364.52,E,EIA,255.16399999999996
Falta de instalación de cerco perimetral en la zona de flotación y lixiviación.,RCA,a,Leves,0.1,I,DIA,0.06999999999999999
El titular no ha incorporado la información asociada a la RCA N° 96/2003 en el Registro Público de Resoluciones de Calificación Ambiental del Sistema Nacional de Información de Fiscalización Ambiental.,RSMA,e,Leves,,,,
A.10 Pretil de contención de derrames de Botadero de Ripio N° 2 no cubre todo su contorno perimetral.,RCA,a,Leves,8.0,I,DIA,5.6
"Cordón desodorizante inoperativo, lo cual se constata durante la inspección ambiental de 17 de febrero de 2016.",RCA,a,Leves,8.0,H,DIA,5.6
